Name,Rarity,Price
Exeggcute,Uncommon,$3.84 
Flareon (Team Plasma),Uncommon,$1.29 
Frozen City (Team Plasma),Uncommon,$0.35 
Garchomp (120 Secret Rare),Secret Rare,$160.98 
Ghetsis (Team Plasma) (Full Art),Ultra Rare,$29.18 
Grimer,Common,$0.27 
Hariyama,Rare,$0.33 
Heatran EX (Team Plasma) (Full Art),Ultra Rare,$20.00 
Horsea,Common,$0.18 
Jolteon (Team Plasma),Uncommon,$1.40 
Kecleon,Rare,$0.96 
Krokorok,Uncommon,$0.21 
Kyurem (Team Plasma),Holo Rare,$4.19 
Lanturn,Uncommon,$0.25 
Latias EX (112 Full Art),Ultra Rare,$49.63 
Latios EX (113 Full Art),Ultra Rare,$35.34 
Life Dew,Rare Ace,$9.81 
Makuhita,Common,$0.20 
Mawile,Uncommon,$0.20 
Metagross (Team Plasma),Holo Rare,$3.69 
Miltank,Uncommon,$0.36 
Muk (Team Plasma),Rare,$0.50 
Nidoqueen,Rare,$0.59 
Nidoran M,Common,$0.21 
Nidorino,Uncommon,$0.26 
Onix,Uncommon,$0.32 
Palpitoad,Uncommon,$0.20 
Pawniard (72),Common,$0.20 
Primeape,Common,$0.27 
Quagsire,Rare,$0.47 
Rattata,Common,$0.20 
Rock Guard,Rare Ace,$4.81 
Sandile,Common,$0.20 
Seadra,Uncommon,$0.24 
Shadow Triad (Team Plasma),Uncommon,$0.24 
Sneasel,Common,$0.25 
Staravia,Uncommon,$0.18 
Steelix (Team Plasma),Rare,$0.96 
Team Plasma Badge (Team Plasma),Uncommon,$0.29 
Thundurus EX (Team Plasma),Ultra Rare,$4.28 
Tornadus EX (Team Plasma),Ultra Rare,$5.02 
Treecko,Common,$0.22 
Ultra Ball,Secret Rare,$294.95 
Vanillish,Uncommon,$0.21 
Vanilluxe (Team Plasma),Rare,$0.34 
Voltorb,Common,$0.18 
Weedle,Common,$0.20 
Yamask (54),Common,$0.20 
Zekrom,Holo Rare,$1.46 
Beedrill,Rare,$0.41 
Bisharp (Team Plasma) (73),Rare,$0.51 
Cacnea,Common,$0.25 
Chandelure (Team Plasma),Holo Rare,$2.51 
Cofagrigus (Team Plasma) (56),Holo Rare,$2.02 
Cryogonal (Team Plasma),Uncommon,$0.24 
Deino (76),Common,$0.25 
Deoxys EX (Team Plasma) (Full Art),Ultra Rare,$45.99 
Dragonite,Holo Rare,$5.50 
Eevee (89),Common,$0.60 
Electrode,Holo Rare,$2.61 
Espeon (Team Plasma),Uncommon,$2.19 
Exeggutor,Rare,$1.35 
Float Stone,Uncommon,$2.93 
Garbodor (119 Secret Rare),Secret Rare,$84.94 
Ghetsis (Team Plasma),Holo Rare,$1.57 
Glaceon (Team Plasma),Rare,$2.23 
Grovyle,Uncommon,$0.26 
Heatran EX (Team Plasma),Ultra Rare,$4.41 
Hoothoot,Common,$0.21 
Hydreigon (Team Plasma),Holo Rare,$2.80 
Kakuna,Uncommon,$0.21 
Kingdra,Holo Rare,$1.30 
Krookodile (Team Plasma),Rare,$0.64 
Lampent,Uncommon,$0.23 
Latias EX,Ultra Rare,$19.05 
Latios EX,Ultra Rare,$5.48 
Leafeon (Team Plasma),Rare,$3.51 
Litwick,Common,$0.16 
Mankey,Common,$0.16 
Max Potion (121 Secret Rare),Secret Rare,$23.21 
Metang,Uncommon,$0.25 
Mr. Mime,Rare,$1.10 
Nidoking,Rare,$0.66 
Nidoran F,Common,$0.23 
Nidorina,Uncommon,$0.37 
Noctowl,Uncommon,$0.23 
Pachirisu,Common,$0.27 
Pawniard (71),Common,$0.17 
Plasma Energy (Team Plasma),Uncommon,$0.24 
Professor Juniper (116 Full Art),Ultra Rare,$93.91 
Raticate (Team Plasma),Rare,$0.37 
Reshiram,Holo Rare,$2.32 
Sableye (Team Plasma),Rare,$0.45 
Sceptile,Holo Rare,$3.49 
Seismitoad (Team Plasma),Rare,$0.29 
Sigilyph,Secret Rare,$76.39 
Staraptor,Rare,$0.52 
Starly,Common,$0.16 
Superior Energy Retrieval,Uncommon,$0.43 
Team Plasma Ball (Team Plasma),Uncommon,$0.26 
Thundurus EX (Team Plasma) (110 Full Art),Ultra Rare,$19.17 
Tornadus EX (Team Plasma) (114 Full Art),Ultra Rare,$16.33 
Tympole,Common,$0.17 
Umbreon (Team Plasma),Holo Rare,$19.90 
Vanillite,Common,$0.17 
Vaporeon (Team Plasma),Uncommon,$1.07 
Weavile (Team Plasma),Rare,$1.07 
Wooper,Common,$0.29 
Yamask (55),Common,$0.20 
Zweilous,Uncommon,$0.35 
Amoonguss (Team Plasma),Uncommon,$0.24 
Articuno EX (Team Plasma) (132 Full Art),Ultra Rare,$47.83 
Beheeyem (Team Plasma),Rare,$0.41 
Black Kyurem EX,Ultra Rare,$3.24 
Bouffalant (Team Plasma),Rare,$0.42 
Carvanha,Common,$0.22 
Cherrim,Rare,$0.62 
Chimchar,Common,$0.18 
Clefairy,Common,$0.20 
Cobalion EX (133 Full Art),Ultra Rare,$17.39 
Colress (Team Plasma) (135 Full Art),Ultra Rare,$48.97 
Combee,Common,$0.24 
Crobat (Team Plasma),Holo Rare,$1.87 
Dodrio,Rare,$0.30 
Donphan,Uncommon,$0.78 
Druddigon (Team Plasma),Rare,$0.41 
Durant (Team Plasma) (92),Uncommon,$0.21 
Elgyem (69),Uncommon,$0.26 
Ether,Uncommon,$0.53 
Exploud,Rare,$0.36 
Frillish,Common,$0.18 
Galvantula,Uncommon,$0.27 
Garbodor (Team Plasma) (67),Rare,$0.39 
Golbat,Uncommon,$0.18 
Gurdurr,Uncommon,$0.25 
Hypnotoxic Laser (Team Plasma),Uncommon,$3.66 
Jellicent (Team Plasma),Rare,$0.42 
Kirlia,Uncommon,$0.30 
Klink,Common,$0.28 
Koffing (56),Common,$0.16 
Lampent,Uncommon,$0.16 
Liepard (Team Plasma),Rare,$0.43 
Lombre,Uncommon,$0.25 
Loudred,Uncommon,$0.24 
Lucario,Holo Rare,$2.21 
Lugia EX (Team Plasma),Ultra Rare,$11.94 
Lunatone,Uncommon,$0.31 
Magnemite,Common,$0.25 
Magneton (45),Uncommon,$0.24 
Magnezone (Team Plasma),Holo Rare,$2.24 
Manaphy,Holo Rare,$0.81 
Moltres EX (Team Plasma),Ultra Rare,$6.82 
Pansear,Common,$0.14 
Patrat (111),Common,$0.14 
Piloswine,Uncommon,$0.25 
Plasma Frigate (Team Plasma),Uncommon,$0.14 
Purrloin (83),Common,$0.22 
Random Receiver,Ultra Rare,$9.78 
Riolu (76),Common,$0.25 
Rufflet,Common,$0.19 
Scraggy,Common,$0.24 
Sewaddle,Common,$0.22 
Simisear,Uncommon,$0.21 
Skitty,Common,$0.23 
Solrock,Uncommon,$0.22 
Swadloon,Uncommon,$0.25 
Team Plasma Grunt (Team Plasma),Uncommon,$0.14 
Togekiss,Holo Rare,$2.28 
Togetic,Uncommon,$0.40 
Trubbish (63),Uncommon,$0.32 
Trubbish (65),Common,$0.55 
Vanillish,Uncommon,$0.15 
Vanilluxe,Rare,$0.40 
Victini EX,Ultra Rare,$4.32 
Victory Piece,Rare Ace,$1.06 
Watchog (Team Plasma) (112),Uncommon,$0.19 
Weezing (Team Plasma),Holo Rare,$1.55 
White Kyurem EX,Ultra Rare,$2.09 
Zubat (52),Common,$0.21 
Articuno EX (Team Plasma),Ultra Rare,$5.44 
Beartic (Team Plasma),Rare,$0.65 
Bicycle,Uncommon,$0.74 
Blastoise,Secret Rare,$218.72 
Braviary,Rare,$0.40 
Charizard,Secret Rare,$549.11 
Cherubi,Common,$0.20 
Clefable,Rare,$0.50 
Cobalion EX,Ultra Rare,$3.64 
Colress (Team Plasma),Uncommon,$7.39 
Colress Machine (Team Plasma),Uncommon,$0.15 
Conkeldurr,Rare,$1.65 
Cubchoo,Common,$0.26 
Doduo,Common,$0.16 
Dowsing Machine,Rare Ace,$24.73 
Durant (Team Plasma) (91),Uncommon,$0.26 
Elgyem (68),Common,$0.20 
Escape Rope,Uncommon,$0.34 
Eviolite,Uncommon,$0.25 
Foongus,Common,$0.14 
Gallade,Holo Rare,$1.49 
Garbodor (Team Plasma) (66),Holo Rare,$0.88 
Giratina (Team Plasma),Rare,$1.03 
Grotle,Uncommon,$0.34 
Heatmor,Uncommon,$0.25 
Infernape (Team Plasma),Holo Rare,$2.42 
Joltik,Common,$0.25 
Klang,Uncommon,$0.27 
Klinklang (Team Plasma),Holo Rare,$0.88 
Koffing (57),Uncommon,$0.25 
Leavanny,Rare,$0.46 
Litwick,Common,$0.26 
Lotad,Common,$0.26 
Lucario,Uncommon,$0.72 
Ludicolo,Rare,$0.89 
Lugia EX (Team Plasma) (134 Full Art),Ultra Rare,$93.30 
Magnemite,Common,$0.16 
Magneton (44),Uncommon,$0.22 
Magnezone,Rare,$0.54 
Mamoswine,Rare,$0.43 
Maractus,Uncommon,$0.23 
Monferno,Uncommon,$0.27 
Patrat (110),Common,$0.22 
Phanpy,Common,$0.26 
Plasma Energy (Team Plasma),Uncommon,$0.20 
Purrloin (82),Common,$0.25 
Ralts,Common,$0.42 
Riolu (75),Common,$0.25 
Rotom (Team Plasma),Uncommon,$0.26 
Scrafty (Team Plasma),Rare,$0.34 
Scramble Switch,Rare Ace,$12.41 
Sharpedo (Team Plasma),Rare,$0.59 
Skarmory (Team Plasma),Rare,$0.55 
Snorlax (Team Plasma),Rare,$8.68 
Squirtle,Common,$1.15 
Swinub,Common,$0.26 
Timburr,Common,$0.28 
Togepi,Common,$0.91 
Torterra (Team Plasma),Rare,$2.48 
Trubbish (64),Common,$0.25 
Turtwig,Common,$0.26 
Vanillite,Common,$0.18 
Vespiquen,Rare,$0.34 
Victini EX (131 Full Art),Ultra Rare,$18.76 
Virbank City Gym,Uncommon,$5.22 
Watchog (Team Plasma) (113),Rare,$0.29 
Whismur,Common,$0.23 
Zapdos EX (Team Plasma),Ultra Rare,$6.96 
Zubat (53),Common,$0.47 
Altaria,Secret Rare,$83.48 
Audino,Rare,$0.44 
Bellossom,Rare,$0.51 
Black Kyurem,Rare,$0.48 
Black Kyurem EX (145 Full Art),Ultra Rare,$52.99 
Blitzle,Common,$0.24 
Camerupt,Rare,$0.30 
Celebi EX (141 Full Art),Ultra Rare,$33.84 
Charmander,Common,$1.92 
Cheren (148 Full Art),Ultra Rare,$36.02 
Computer Search,Rare Ace,$59.15 
Cresselia EX,Ultra Rare,$6.77 
Croagunk (64),Common,$0.25 
Crustle,Holo Rare,$3.08 
Crystal Edge,Rare Ace,$1.44 
Darmanitan,Uncommon,$0.31 
Delcatty,Uncommon,$0.25 
Dewott,Uncommon,$0.24 
Ducklett,Common,$0.23 
Dusclops,Uncommon,$0.25 
Duskull,Common,$0.25 
Electabuzz,Common,$0.20 
Electrode,Uncommon,$0.22 
Energy Search,Common,$0.24 
Flygon,Holo Rare,$5.78 
Gligar,Common,$0.20 
Gloom,Uncommon,$0.21 
Golduck (34),Uncommon,$0.21 
Golurk,Secret Rare,$53.42 
Gothorita,Uncommon,$0.27 
Grumpig,Rare,$0.30 
Herdier,Uncommon,$0.25 
Jellicent,Rare,$0.40 
Keldeo (48),Rare,$0.48 
Keldeo EX (142 Full Art),Ultra Rare,$31.85 
Landorus EX,Ultra Rare,$7.83 
Liepard,Holo Rare,$3.85 
Lillipup,Common,$0.18 
Makuhita,Common,$0.20 
Marill,Common,$0.26 
Meowth,Common,$0.36 
Mienfoo (87),Uncommon,$0.26 
Munna,Uncommon,$0.98 
Numel,Common,$0.20 
Oshawott,Common,$0.23 
Petilil,Common,$0.31 
Pignite,Uncommon,$0.65 
Poke Ball,Common,$0.15 
Psyduck (32),Common,$0.40 
Purrloin,Common,$0.20 
Rattata,Common,$0.29 
Rocky Helmet (Secret),Secret Rare,$11.95 
Sandshrew,Common,$0.30 
Scizor,Holo Rare,$4.42 
Scyther,Common,$0.88 
Servine,Uncommon,$0.42 
Skarmory (95),Uncommon,$0.20 
Skitty,Common,$0.27 
Skyla (149 Full Art),Ultra Rare,$211.07 
Snorlax,Uncommon,$1.21 
Spoink,Common,$0.13 
Stoutland,Holo Rare,$8.89 
Switch,Common,$0.20 
Taillow,Common,$0.20 
Tangrowth,Holo Rare,$2.59 
Terrakion,Secret Rare,$45.99 
Town Map,Uncommon,$1.01 
Tranquill,Uncommon,$0.20 
Unfezant,Rare,$0.49 
Vibrava,Uncommon,$0.38 
Vileplume,Holo Rare,$2.50 
Vullaby,Common,$0.25 
Watchog,Uncommon,$0.22 
Whirlipede,Uncommon,$0.30 
White Kyurem EX,Ultra Rare,$2.29 
Wobbuffet,Uncommon,$0.39 
Zebstrika,Holo Rare,$1.81 
Aspertia City Gym,Uncommon,$0.31 
Azumarill,Uncommon,$0.33 
Bianca (147 Full Art),Ultra Rare,$111.23 
Black Kyurem EX,Ultra Rare,$2.41 
Blastoise,Holo Rare,$11.18 
Buneary,Common,$0.31 
Celebi EX,Ultra Rare,$12.72 
Charizard,Holo Rare,$25.55 
Charmeleon,Uncommon,$1.24 
Chinchou,Common,$0.17 
Cottonee,Common,$0.21 
Cresselia EX (143 Full Art),Ultra Rare,$25.39 
Croagunk (65),Uncommon,$0.25 
Cryogonal,Uncommon,$0.20 
Crystal Wall,Rare Ace,$1.18 
Darumaka,Common,$0.21 
Delibird,Uncommon,$0.28 
Ditto,Holo Rare,$8.34 
Dunsparce,Common,$0.20 
Dusknoir,Holo Rare,$3.87 
Dwebble,Common,$0.31 
Electivire,Holo Rare,$1.48 
Emboar,Holo Rare,$2.61 
Farfetch'd,Uncommon,$0.35 
Frillish,Common,$0.20 
Gliscor,Holo Rare,$1.06 
Gold Potion,Rare Ace,$7.66 
Golduck (35),Rare,$0.43 
Gothita,Common,$0.23 
Great Ball,Uncommon,$0.31 
Heracross,Uncommon,$1.18 
Hugh,Uncommon,$0.24 
Keldeo (47),Holo Rare,$2.33 
Keldeo EX,Ultra Rare,$1.54 
Klink,Uncommon,$0.20 
Landorus EX (144 Full Art),Ultra Rare,$22.03 
Lilligant,Rare,$0.52 
Lopunny,Uncommon,$0.42 
Mandibuzz,Uncommon,$0.25 
Meloetta,Holo Rare,$2.40 
Mienfoo (86),Common,$0.26 
Mienshao,Uncommon,$0.41 
Musharna,Rare,$0.39 
Oddish,Common,$0.24 
Patrat,Common,$0.17 
Pidove,Common,$0.27 
Pikachu,Common,$1.99 
Potion,Common,$0.13 
Psyduck (33),Common,$0.35 
Raticate,Uncommon,$6.64 
Rocky Helmet,Uncommon,$0.28 
Samurott,Holo Rare,$1.84 
Sandslash,Uncommon,$0.36 
Scolipede,Holo Rare,$2.96 
Serperior,Holo Rare,$3.22 
Shaymin,Rare,$0.96 
Skarmory (96),Uncommon,$0.24 
Skyla,Uncommon,$0.25 
Snivy,Common,$0.19 
Spinda,Common,$0.26 
Squirtle,Common,$1.24 
Swanna,Uncommon,$0.19 
Swoobat,Rare,$0.29 
Tangela,Common,$0.22 
Tepig,Common,$0.31 
Togepi,Common,$2.28 
Toxicroak,Rare,$0.27 
Trapinch,Common,$0.26 
Venipede,Common,$0.16 
Victini,Rare,$0.44 
Voltorb,Common,$0.12 
Wartortle,Uncommon,$1.37 
Whimsicott,Rare,$0.35 
White Kyurem,Rare,$0.44 
White Kyurem EX (146 Full Art),Ultra Rare,$45.86 
Woobat,Common,$0.18 
Aggron,Holo Rare,$1.18 
Alomomola,Rare,$0.34 
Ambipom,Rare,$0.56 
Aron,Common,$0.20 
Baltoy,Common,$0.13 
Bibarel,Uncommon,$0.20 
Blend Energy GFPD,Uncommon,$2.23 
Boldore,Uncommon,$0.25 
Braviary,Rare,$0.40 
Cascoon,Uncommon,$0.24 
Cubone,Common,$0.33 
Deino (94),Common,$0.24 
Drifblim,Rare,$0.52 
Drifloon (50),Common,$0.26 
Dustox,Rare,$0.44 
Electrike (42),Common,$0.16 
Feebas,Common,$0.15 
Floatzel,Uncommon,$0.20 
Gabite (88),Uncommon,$0.37 
Garbodor,Holo Rare,$1.28 
Garchomp (91),Rare,$0.59 
Gible (86),Common,$0.25 
Gigalith,Holo Rare,$0.58 
Giratina EX (124 Full Art),Ultra Rare,$70.01 
Golurk,Holo Rare,$1.08 
Gothitelle,Rare,$0.59 
Gyarados,Rare,$0.99 
Ho-Oh EX,Ultra Rare,$3.25 
Hoppip,Common,$0.13 
Houndour,Common,$0.25 
Hydreigon (98),Rare,$0.47 
Krookodile,Secret Rare,$65.46 
Magikarp,Common,$0.31 
Magmortar,Rare,$0.55 
Manectric (44),Rare,$0.30 
Mareep,Common,$0.24 
Mew EX,Ultra Rare,$30.51 
Milotic,Holo Rare,$1.56 
Murkrow,Common,$0.17 
Ninetales,Holo Rare,$4.32 
Nosepass,Common,$0.16 
Probopass,Rare,$0.32 
Rayquaza EX,Ultra Rare,$4.04 
Registeel EX,Ultra Rare,$6.58 
Rescue Scarf,Uncommon,$0.73 
Roggenrola,Common,$0.15 
Roselia (13),Common,$0.18 
Roserade,Rare,$1.15 
Sawk,Uncommon,$0.25 
Seismitoad,Rare,$0.52 
Shedinja,Rare,$0.53 
Silcoon,Uncommon,$0.19 
Skuntank,Uncommon,$0.17 
Slakoth,Common,$0.20 
Stunfisk,Uncommon,$0.14 
Swablu (104),Uncommon,$0.26 
Terrakion EX,Ultra Rare,$4.03 
Throh,Uncommon,$0.25 
Trubbish,Common,$0.30 
Vigoroth,Uncommon,$0.21 
Wailmer,Uncommon,$0.29 
Walrein,Rare,$0.35 
Yanma,Common,$0.16 
Zweilous (95),Uncommon,$0.31 
Aipom,Common,$0.17 
Altaria,Holo Rare,$1.48 
Ampharos,Holo Rare,$2.14 
Audino,Uncommon,$0.30 
Beautifly,Rare,$0.73 
Bidoof,Common,$0.25 
Blend Energy WLFM,Uncommon,$2.29 
Bouffalant,Uncommon,$0.35 
Buizel,Common,$0.16 
Claydol,Rare,$0.42 
Deino (93),Common,$0.21 
Devolution Spray,Uncommon,$0.12 
Drifloon (49),Common,$0.22 
Durant,Uncommon,$0.24 
Electrike (41),Common,$0.19 
Emolga,Uncommon,$0.47 
Flaaffy,Uncommon,$0.30 
Foongus,Common,$0.29 
Gabite (89),Uncommon,$3.46 
Garchomp (90),Holo Rare,$2.05 
Giant Cape,Uncommon,$0.20 
Gible (87),Common,$0.29 
Giratina EX,Ultra Rare,$8.63 
Golett,Common,$0.16 
Gothita,Common,$0.20 
Gothorita,Uncommon,$0.41 
Honchkrow,Rare,$0.52 
Ho-Oh Ex (119 Full Art),Ultra Rare,$46.86 
Houndoom,Rare,$1.40 
Hydreigon (97),Holo Rare,$1.01 
Jumpluff,Rare,$0.55 
Lairon,Uncommon,$0.27 
Magmar,Common,$0.15 
Manectric (43),Rare,$0.44 
Maractus,Uncommon,$0.24 
Marowak,Rare,$0.48 
Mew EX (120 Full Art),Ultra Rare,$87.20 
Minccino,Common,$0.23 
Nincada,Common,$0.30 
Ninjask,Uncommon,$0.46 
Palpitoad,Uncommon,$0.21 
Rayquaza,Secret Rare,$311.65 
Rayquaza EX (123 Full Art),Ultra Rare,$100.13 
Registeel EX (122 Full Art),Ultra Rare,$28.30 
Reuniclus,Secret Rare,$47.97 
Roselia (12),Uncommon,$0.25 
Roserade,Uncommon,$0.20 
Rufflet,Common,$0.14 
Sealeo,Uncommon,$0.23 
Serperior,Secret Rare,$75.16 
Sigilyph,Holo Rare,$0.76 
Skiploom,Uncommon,$0.20 
Slaking,Holo Rare,$1.09 
Spheal,Common,$0.24 
Stunky,Common,$0.19 
Swablu (105),Common,$0.18 
Terrakion EX (121 Full Art),Ultra Rare,$16.70 
Tool Scrapper,Uncommon,$0.59 
Tympole,Common,$0.15 
Vulpix,Common,$0.69 
Wailord,Holo Rare,$1.30 
Wurmple,Common,$0.21 
Yanmega,Rare,$0.41 
Zweilous (96),Uncommon,$0.34 
Accelgor,Rare,$0.95 
Archeops,Secret Rare,$40.23 
Bisharp (79),Rare,$0.45 
Blissey,Holo Rare,$0.89 
Carnivine,Rare,$0.51 
Chansey (81),Common,$0.25 
Cheren,Uncommon,$0.24 
Combusken,Uncommon,$0.30 
Dark Claw,Uncommon,$2.78 
Darkrai EX,Ultra Rare,$7.03 
Drilbur,Common,$0.25 
Dwebble,Common,$0.25 
Eelektross,Holo Rare,$1.80 
Eevee (84),Common,$1.11 
Enhanced Hammer,Uncommon,$0.33 
Entei EX (103 Full Art),Ultra Rare,$65.28 
Espeon,Rare,$4.31 
Excadrill (57),Rare,$0.41 
Galvantula,Rare,$0.40 
Glaceon,Rare,$4.29 
Groudon EX (106 Full Art),Ultra Rare,$100.00 
Haxorus,Holo Rare,$1.55 
Herdier,Uncommon,$0.30 
Ivysaur,Uncommon,$9.53 
Joltik (41),Common,$0.25 
Karrablast,Common,$0.27 
Klink,Common,$0.30 
Krokorok,Uncommon,$0.26 
Kyogre EX,Ultra Rare,$16.84 
Larvesta (20),Common,$0.25 
Leafeon,Rare,$4.21 
Minun,Common,$0.25 
Old Amber Aerodactyl,Uncommon,$0.15 
Pawniard,Common,$0.23 
Plusle,Common,$0.56 
Prinplup,Uncommon,$0.52 
Raikou EX,Ultra Rare,$16.11 
Random Receiver,Uncommon,$0.37 
Sableye,Uncommon,$1.15 
Scrafty,Rare,$0.45 
Scyther,Uncommon,$3.86 
Slowbro,Uncommon,$0.37 
Slowpoke,Common,$0.25 
Swanna,Rare,$0.48 
Torchic (14),Common,$0.23 
Torkoal,Uncommon,$0.24 
Tornadus EX (108 Full Art),Ultra Rare,$21.56 
Tympole,Common,$0.24 
Tynamo (45),Common,$0.34 
Umbreon (60),Uncommon,$8.20 
Vanillish,Uncommon,$0.23 
Vaporeon,Uncommon,$3.05 
Volcarona,Holo Rare,$4.10 
Woobat,Common,$0.23 
Zoroark,Rare,$1.22 
Zorua (70),Common,$1.69 
Aerodactyl,Rare,$2.91 
Bisharp (72),Rare,$0.44 
Blaziken,Holo Rare,$5.69 
Bulbasaur,Common,$2.52 
Chansey (80),Common,$0.25 
Chatot,Uncommon,$0.23 
Cofagrigus,Rare,$0.67 
Crustle,Uncommon,$0.38 
Dark Patch,Uncommon,$12.33 
Darkrai EX (107 Full Art),Ultra Rare,$120.00 
Ducklett,Common,$0.25 
Eelektrik,Uncommon,$0.26 
Eevee (83),Common,$3.67 
Empoleon,Holo Rare,$3.98 
Entei EX,Ultra Rare,$13.10 
Escavalier,Rare,$0.40 
Excadrill (56),Rare,$0.49 
Flareon,Uncommon,$3.23 
Gardevoir,Secret Rare,$260.99 
Groudon EX,Ultra Rare,$19.00 
Gurdurr,Uncommon,$0.31 
Heatmor,Rare,$0.54 
Hooligans Jim & Cas,Uncommon,$0.22 
Jolteon,Uncommon,$3.48 
Joltik (42),Common,$0.31 
Klang,Uncommon,$0.27 
Klinklang,Holo Rare,$0.76 
Krookodile,Holo Rare,$1.29 
Kyogre EX (104 Full Art),Ultra Rare,$84.45 
Larvesta (21),Common,$0.29 
Lillipup,Common,$0.23 
N (Supporter),Uncommon,$1.59 
Palpitoad,Uncommon,$0.23 
Piplup,Common,$0.28 
Pokemon Catcher (Gold),Secret Rare,$38.59 
Professor Juniper,Uncommon,$1.06 
Raikou EX (105 Full Art),Ultra Rare,$78.00 
Rare Candy,Uncommon,$0.94 
Sandile,Common,$0.20 
Scraggy,Common,$0.25 
Shelmet,Common,$0.18 
Slowking,Rare,$1.04 
Stoutland,Rare,$0.52 
Timburr,Common,$0.28 
Torchic (15),Common,$0.23 
Tornadus EX,Ultra Rare,$8.37 
Twist Mountain,Uncommon,$0.27 
Tynamo (44),Common,$0.26 
Ultra Ball,Uncommon,$0.54 
Umbreon (61),Uncommon,$5.79 
Vanillite,Common,$0.28 
Venusaur,Holo Rare,$4.83 
Vullaby,Uncommon,$0.31 
Yamask,Uncommon,$0.22 
Zorua (69),Common,$0.69 
Accelgor,Rare,$0.45 
Archen,Uncommon,$0.61 
Audino,Uncommon,$0.38 
Beheeyem,Rare,$2.11 
Bisharp (82),Holo Rare,$1.04 
Carracosta,Rare,$2.53 
Cobalion,Holo Rare,$1.61 
Cofagrigus (46),Rare,$1.89 
Conkeldurr (64),Holo Rare,$2.62 
Cover Fossil,Uncommon,$0.24 
Cryogonal (32),Uncommon,$0.27 
Deino,Common,$0.25 
Duosion,Uncommon,$0.36 
Dwebble,Common,$0.27 
Eelektross,Holo Rare,$1.47 
Elgyem (55),Common,$0.43 
Escavalier,Rare,$0.46 
Foongus,Common,$0.21 
Frillish,Common,$0.22 
Gigalith,Rare,$0.59 
Golurk,Rare,$0.54 
Haxorus,Holo Rare,$4.00 
Hydreigon,Holo Rare,$6.58 
Karrablast,Common,$0.18 
Lampent,Uncommon,$0.40 
Larvesta (19),Common,$0.18 
Leavanny,Holo Rare,$1.01 
Litwick (57),Common,$0.22 
Meowth,Secret Rare,$25.50 
Mienshao,Uncommon,$0.26 
N (Supporter) (Full Art),Ultra Rare,$62.65 
Pansear,Common,$0.17 
Pawniard (81),Common,$0.26 
Plume Fossil,Uncommon,$0.25 
Reuniclus (53),Rare,$0.58 
Seismitoad,Rare,$0.59 
Shelmet,Common,$0.19 
Solosis,Common,$0.21 
Stunfisk (68),Uncommon,$0.26 
Swadloon,Uncommon,$0.22 
Terrakion (99 Full Art),Ultra Rare,$16.48 
Tirtouga,Uncommon,$1.82 
Tympole,Common,$0.18 
Tynamo (39),Common,$0.25 
Vanillite,Common,$0.27 
Victini (14),Holo Rare,$2.84 
Victini (43),Rare,$1.49 
Virizion,Holo Rare,$2.30 
Volcarona,Rare,$0.88 
Yamask (44),Common,$0.26 
Zebstrika,Rare,$0.43 
Amoonguss,Uncommon,$0.39 
Archeops,Rare,$2.79 
Axew,Common,$0.29 
Bisharp (76),Uncommon,$0.32 
Blitzle,Common,$0.31 
Chandelure,Rare,$12.13 
Cobalion (100 Full Art),Ultra Rare,$19.96 
Cofagrigus (47),Rare,$1.05 
Conkeldurr (65),Rare,$0.54 
Crustle,Uncommon,$0.34 
Cryogonal (33),Rare,$0.98 
Druddigon,Rare,$0.36 
Durant,Uncommon,$1.62 
Eelektrik,Uncommon,$0.70 
Elgyem (54),Common,$0.25 
Emolga,Uncommon,$0.28 
Eviolite,Uncommon,$0.40 
Fraxure,Uncommon,$0.35 
Garbodor,Uncommon,$0.48 
Golett,Common,$0.25 
Gurdurr,Uncommon,$0.25 
Heatmor,Uncommon,$0.35 
Jellicent,Rare,$1.49 
Kyurem,Holo Rare,$2.91 
Landorus,Holo Rare,$2.20 
Larvesta (20),Common,$0.20 
Lilligant,Rare,$0.52 
Litwick (58),Common,$0.24 
Mienfoo,Common,$0.23 
N (Supporter),Uncommon,$1.27 
Palpitoad,Uncommon,$0.48 
Pawniard (75),Common,$0.23 
Petilil,Common,$0.25 
Reuniclus (52),Rare,$0.44 
Rocky Helmet,Uncommon,$0.23 
Sewaddle,Common,$0.21 
Simisear,Uncommon,$0.19 
Stunfisk (42),Common,$0.14 
Super Rod,Uncommon,$0.44 
Terrakion,Holo Rare,$3.71 
Timburr,Common,$0.24 
Trubbish,Common,$2.47 
Tynamo (38),Common,$0.26 
Vanillish,Uncommon,$0.31 
Vanilluxe,Rare,$0.69 
Victini (15),Holo Rare,$3.39 
Victini (98 Full Art),Ultra Rare,$27.31 
Virizion (Full Art),Ultra Rare,$17.05 
Xtransceiver,Uncommon,$0.21 
Yamask (45),Common,$0.19 
Zweilous,Uncommon,$0.57 
Audino (#12),Common,$0.13 
Darkness Energy (#10),Common,$0.59 
Darkness Energy (#22),Common,$0.59 
Darkness Energy (#26),Common,$0.99 
Darkness Energy (#3),Common,$0.99 
Darkness Energy (#6),Common,$0.45 
Darkness Energy (#8),Common,$0.59 
Drilbur (#13),Common,$1.00 
Energy Search (Zoroark),Common,$0.25 
Excadrill (#17 Non-Holo),Common,$0.62 
Fighting Energy (#10),Common,$0.39 
